text,label,text_processado,qtd_pronomes,qtd_verbos,qtd_verbos_passado,qtd_frases,media_tokens_por_frase
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso,0.0,0.0,0.0,1.0,8.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso,0.0,0.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah,2.0,3.0,0.0,1.0,10.0
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu,3.0,2.0,0.0,1.0,10.0
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar,1.0,2.0,0.0,3.0,3.0
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah,2.0,3.0,0.0,1.0,10.0
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu,3.0,2.0,0.0,1.0,10.0
"Minha mãe... ela... falou com o... ah, como é mesmo?",1,mãe falar ah,2.0,3.0,0.0,1.0,10.0
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar,2.0,2.0,0.0,2.0,4.5
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu,3.0,2.0,0.0,1.0,10.0
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar,2.0,2.0,0.0,2.0,4.5
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro,0.0,1.0,0.0,3.0,3.3333333333333335
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro,0.0,1.0,0.0,3.0,3.3333333333333335
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar,1.0,2.0,0.0,3.0,3.0
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar,2.0,2.0,0.0,2.0,4.5
A coisa... aquilo... eu comi... era bom... ou não?,1,comi,2.0,1.0,0.0,1.0,9.0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar,1.0,2.0,0.0,3.0,3.0
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar,2.0,2.0,0.0,2.0,4.5
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro,0.0,1.0,0.0,3.0,3.3333333333333335
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu,3.0,2.0,0.0,1.0,10.0
A coisa... aquilo... eu comi... era bom... ou não?,1,comi,2.0,1.0,0.0,1.0,9.0
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro,0.0,1.0,0.0,3.0,3.3333333333333335
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
"A menina... neta... ou filha? Ela me visitou, acho.",1,menina neta filha visitar achar,2.0,2.0,0.0,2.0,4.5
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"O... o livro, ele... li... ou alguém leu pra mim?",1,livro ler alguém ler pra eu,3.0,2.0,0.0,1.0,10.0
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1,negócio nome comida,1.0,2.0,0.0,1.0,13.0
A televisão falou de... política? Ou novela? Não lembro bem.,1,televisão falar político novela lembro,0.0,1.0,0.0,3.0,3.3333333333333335
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1,hoje terça saí achar,1.0,2.0,0.0,3.0,3.0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1,comprei esqueci,2.0,2.0,0.0,1.0,10.0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1,lembro,3.0,1.0,0.0,4.0,2.5
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1,caminhar vi bicho cachorro,0.0,3.0,0.0,4.0,2.25
A coisa... aquilo... eu comi... era bom... ou não?,1,comi,2.0,1.0,0.0,1.0,9.0
